date,growth
01/08/1993,0.003276406
01/09/1993,0.004788474
01/10/1993,-0.003136945
01/11/1993,0.002054861
01/12/1993,0.002627163
01/01/1994,0.000263441
01/02/1994,0.00599484
01/03/1994,0.000462555
01/04/1994,-0.001356322
01/05/1994,0.002963319
01/06/1994,0.004352608
01/07/1994,-0.003851176
01/08/1994,0.005144841
01/09/1994,0.001363041
01/10/1994,0.000266887
01/11/1994,-0.000123932
01/12/1994,0.0038595
01/01/1995,-0.000539475
01/02/1995,0.000523285
01/03/1995,0.00294758
01/04/1995,-0.001327829
01/05/1995,0.005020652
01/06/1995,0.004714912
01/07/1995,-0.003713557
01/08/1995,0.002515995
01/09/1995,0.000935925
01/10/1995,-0.004471845
01/11/1995,0.006261565
01/12/1995,0.003597709
01/01/1996,-0.002497565
01/02/1996,0.004706663
01/03/1996,0.004061271
01/04/1996,-0.001184895
01/05/1996,0.000727855
01/06/1996,0.003484479
01/07/1996,-0.001590736
01/08/1996,0.001968633
01/09/1996,0.000971641
01/10/1996,-0.0009907
01/11/1996,0.001701489
01/12/1996,0.004759234
01/01/1997,-0.000517491
01/02/1997,0.002829965
01/03/1997,0.001030393
01/04/1997,-0.001000821
01/05/1997,0.001859601
01/06/1997,0.002802819
01/07/1997,0.004186981
01/08/1997,0.003077004
01/09/1997,0.002659151
01/10/1997,0.001763584
01/11/1997,0.000708738
01/12/1997,0.005152145
01/01/1998,-0.001248208
01/02/1998,0.005670432
01/03/1998,0.004707555
01/04/1998,-6.46651E-06
01/05/1998,0.003153796
01/06/1998,0.008389141
01/07/1998,-0.001907422
01/08/1998,0.001696114
01/09/1998,0.005006982
01/10/1998,-0.002943413
01/11/1998,0.003066125
01/12/1998,0.004884363
01/01/1999,0.001989854
01/02/1999,0.001898748
01/03/1999,0.004324304
01/04/1999,0.001745325
01/05/1999,0.002310782
01/06/1999,0.002197557
01/07/1999,-0.000831207
01/08/1999,0.004562875
01/09/1999,0.004779983
01/10/1999,0.000779941
01/11/1999,0.004740981
01/12/1999,0.009893635
01/01/2000,-0.00865246
01/02/2000,0.006555004
01/03/2000,0.007281815
01/04/2000,0.000876249
01/05/2000,0.00323454
01/06/2000,0.003504989
01/07/2000,-0.002043509
01/08/2000,0.003699384
01/09/2000,0.005525753
01/10/2000,-0.001848264
01/11/2000,0.002288821
01/12/2000,0.005075436
01/01/2001,-0.002652734
01/02/2001,-0.003645491
01/03/2001,0.000814297
01/04/2001,-0.000596764
01/05/2001,0.003066963
01/06/2001,-0.00217607
01/07/2001,0.001394614
01/08/2001,0.002954538
01/09/2001,-0.00986305
01/10/2001,0.006287143
01/11/2001,0.001707489
01/12/2001,0.005135264
01/01/2002,-0.003149231
01/02/2002,0.001610225
01/03/2002,0.000883192
01/04/2002,-0.000433961
01/05/2002,0.001592359
01/06/2002,0.002634079
01/07/2002,-0.000436359
01/08/2002,-0.001442568
01/09/2002,7.93709E-05
01/10/2002,0.004163893
01/11/2002,0.001409357
01/12/2002,0.002074291
01/01/2003,0.000985373
01/02/2003,-0.000184034
01/03/2003,0.00197731
01/04/2003,-0.000144762
01/05/2003,0.002397595
01/06/2003,0.004428666
01/07/2003,0.000813017
01/08/2003,0.004475157
01/09/2003,-0.0011106
01/10/2003,-0.000375915
01/11/2003,0.003731146
01/12/2003,0.00144433
01/01/2004,0.002483632
01/02/2004,-0.000139709
01/03/2004,0.004630405
01/04/2004,-0.000743909
01/05/2004,0.001782397
01/06/2004,0.000664181
01/07/2004,0.002388756
01/08/2004,0.003199566
01/09/2004,0.004643007
01/10/2004,0.000688304
01/11/2004,0.001934041
01/12/2004,0.004526954
01/01/2005,-0.001129474
01/02/2005,0.002580706
01/03/2005,0.000708778
01/04/2005,0.002275518
01/05/2005,0.002233642
01/06/2005,0.004498521
01/07/2005,-0.001038202
01/08/2005,0.002545211
01/09/2005,-0.001081931
01/10/2005,0.002271295
01/11/2005,0.001096001
01/12/2005,0.002816189
01/01/2006,-0.001333847
01/02/2006,0.005141155
01/03/2006,0.000949906
01/04/2006,-0.000183331
01/05/2006,0.002190171
01/06/2006,-0.000179857
01/07/2006,0.001524279
01/08/2006,-0.001043365
01/09/2006,0.00378407
01/10/2006,0.002164145
01/11/2006,0.000506515
01/12/2006,0.004989634
01/01/2007,-0.001224635
01/02/2007,0.000646227
01/03/2007,0.000543861
01/04/2007,-0.001868511
01/05/2007,-0.000375201
01/06/2007,0.002339288
01/07/2007,0.000178404
01/08/2007,0.002705958
01/09/2007,-0.000356266
01/10/2007,-0.002399735
01/11/2007,0.00351914
01/12/2007,0.000917199
01/01/2008,-0.000995735
01/02/2008,-0.001906141
01/03/2008,0.003356947
01/04/2008,-0.000368972
01/05/2008,0.001274714
01/06/2008,-0.000667562
01/07/2008,-0.004461138
01/08/2008,-0.001974783
01/09/2008,-0.00323388
01/10/2008,0.000978599
01/11/2008,-0.001125534
01/12/2008,-0.002910775
01/01/2009,-0.000131273
01/02/2009,-0.002632556
01/03/2009,-0.002596326
01/04/2009,-0.003002662
01/05/2009,-0.001395754
01/06/2009,-0.000676036
01/07/2009,-0.000752141
01/08/2009,0.00185888
01/09/2009,0.000469668
01/10/2009,-0.001572517
01/11/2009,-0.003270886
01/12/2009,0.00605504
01/01/2010,-0.002457437
01/02/2010,0.003864671
01/03/2010,1.3625E-05
01/04/2010,0.000717483
01/05/2010,0.00284947
01/06/2010,0.002078981
01/07/2010,0.000182141
01/08/2010,0.002124874
01/09/2010,0.000718281
01/10/2010,-0.001800615
01/11/2010,0.002991356
01/12/2010,0.000985366
01/01/2011,-0.000790755
01/02/2011,-5.68227E-05
01/03/2011,0.002434542
01/04/2011,-0.002243246
01/05/2011,-0.000164439
01/06/2011,0.003187802
01/07/2011,-0.00102481
01/08/2011,-0.000759549
01/09/2011,-0.000331651
01/10/2011,-0.001208415
01/11/2011,-0.001331818
01/12/2011,-0.000324409
01/01/2012,0.001258264
01/02/2012,0.005011343
01/03/2012,-0.000917383
01/04/2012,-0.000799448
01/05/2012,0.000403107
01/06/2012,-0.001160445
01/07/2012,-0.000230973
01/08/2012,-0.000375499
01/09/2012,-3.4042E-05
01/10/2012,-0.001016088
01/11/2012,0.002016398
01/12/2012,-0.000709199
01/01/2013,0.001474861
01/02/2013,-0.000652454
01/03/2013,0.000954172
01/04/2013,-0.002188225
01/05/2013,0.002213458
01/06/2013,-0.000130978
01/07/2013,-0.001147011
01/08/2013,0.001147015
01/09/2013,0.003030229
01/10/2013,0.000651832
01/11/2013,0.00345886
01/12/2013,0.00104685
01/01/2014,-0.003916379
01/02/2014,0.003025854
01/03/2014,0.002550827
01/04/2014,0.000313873
01/05/2014,0.000731026
01/06/2014,0.003183443
01/07/2014,0.000230554
01/08/2014,0.00643255
01/09/2014,-0.000204508
01/10/2014,0.004461811
01/11/2014,0.001628002
01/12/2014,0.002047109
01/01/2015,0.000347348
01/02/2015,0.002390513
01/03/2015,-5.75178E-05
01/04/2015,0.000511073
01/05/2015,0.002723797
01/06/2015,0.001064826
01/07/2015,0.001473826
01/08/2015,0.001833765
01/09/2015,0.002093025
01/10/2015,-0.000917943
01/11/2015,0.000931776
01/12/2015,0.00371961
01/01/2016,-0.00018962
01/02/2016,0.005201589
01/03/2016,-0.00301029
01/04/2016,0.001558269
01/05/2016,0.001277761
01/06/2016,0.00258849
01/07/2016,-0.001766848
01/08/2016,0.000858309
01/09/2016,0.002210138
01/10/2016,-0.003009096
01/11/2016,0.002444286
01/12/2016,0.004523276
01/01/2017,0.000200057
01/02/2017,0.000215949
01/03/2017,0.005357264
01/04/2017,-0.00161691
01/05/2017,0.000307963
01/06/2017,0.001628856
01/07/2017,-0.001224064
01/08/2017,0.001525879
01/09/2017,0.003044046
01/10/2017,-0.001564503
01/11/2017,0.004463625
01/12/2017,0.00655885
01/01/2018,-0.002325924
01/02/2018,-0.000580619
01/03/2018,0.003699361
01/04/2018,0.002024997
01/05/2018,0.002325622
01/06/2018,0.001449664
01/07/2018,0.001515253
01/08/2018,0.002656878
01/09/2018,-0.000697652
01/10/2018,0.003004765
01/11/2018,0.00290893
01/12/2018,-0.006572729
01/01/2019,0.003398711
01/02/2019,-0.000438524
01/03/2019,0.004190758
01/04/2019,0.001159894
01/05/2019,0.001647746
01/06/2019,0.002970558
01/07/2019,0.000797687
01/08/2019,0.002583647
01/09/2019,-4.88645E-05
01/10/2019,0.000182608
01/11/2019,0.001723492
01/12/2019,-0.001030847
01/01/2020,0.002403178
01/02/2020,0.0007213
01/03/2020,-0.057038743
01/04/2020,-0.133093871
01/05/2020,0.062406209
01/06/2020,0.052824055
01/07/2020,0.011237426
01/08/2020,0.00648655
01/09/2020,0.01381108
01/10/2020,0.001314638
01/11/2020,-0.004596699
01/12/2020,-0.007547797
